[2023-03-05 00-40-47] d=  7, evals=1.0e+03, k= 50, k_top=  5
===================== --------------------------------------

#     1 : loss =  1.7e+01
   inp  : [s =  2.2e+02] чъръпьм чъръпьм ъйлбмфь пдлешйщ быншийя ощуъиъв ыьбэъхс
   out  : [s =  1.7e+01] chirp chirp chirp chirp chirp
   rev  : [s =  2.6e+01] чирик чирик чирик чирик чирик чирик чирик чирик чирик

#     2 : loss =  1.7e+01
   inp  : [s =  2.1e+02] чъръпьм щосющйе пдлешйщ щосющйе мжвлвфж жьрцэъо жьрцэъо
   out  : [s =  1.7e+01] chirp chirp chirp chirp chirp chirp
   rev  : [s =  2.6e+01] чирик чирик чирик чирик чирик чирик чирик чирик чирик чирик чирик

#     3 : loss =  2.1e+01
   inp  : [s =  2.7e+02] ъоэсйьл гзйкщчж гбьъьиэ жьрэиэф зжнмкьъ бысёъгч бреощее
   out  : [s =  2.1e+01] The following is an example of the following
   rev  : [s =  3.8e+01] Ниже приведен пример

#     4 : loss =  2.1e+01
   inp  : [s =  2.6e+02] ъоэсйьл жьрэиэф жьрцэъо бреощее ккзёйьи жцчыщцй чтьёиэе
   out  : [s =  2.1e+01] The following is an example of the following
   rev  : [s =  3.8e+01] Ниже приведен пример

#     5 : loss =  2.4e+01
   inp  : [s =  2.5e+02] пдлешйщ фйвьжиы ккзёйьи гзйкщчж быншийя чтьёиэе ккзёйьи
   out  : [s =  2.4e+01] The first part of the story is the following
   rev  : [s =  6.8e+01] Первая часть истории заключается в следующем

#     6 : loss =  2.4e+01
   inp  : [s =  2.3e+02] бреощее бгаьъэы бжкльлш жьрэиэф ктлтксь ктлтксь бгаьъэы
   out  : [s =  2.4e+01] bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai
   rev  : [s =  2.4e+01] bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai bgai

#     7 : loss =  2.5e+01
   inp  : [s =  2.6e+02] ккзёйьи гзйкщчж гбьъьиэ зсзгвлэ жьрцэъо гзйкщчж чтьёиэе
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#     8 : loss =  2.5e+01
   inp  : [s =  2.7e+02] бёацсжю зсзгвлэ бёацсжю чтьёиэе быншийя бжкльлш гзйкщчж
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#     9 : loss =  2.5e+01
   inp  : [s =  3.0e+02] ъоэсйьл ктлтксь бысёъгч гзйкщчж быншийя бгаьъэы ыьбэъхс
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    10 : loss =  2.5e+01
   inp  : [s =  2.9e+02] жцчыщцй фйвьжиы гбьъьиэ зсзгвлэ бгаьъэы рыьдяно ккзёйьи
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    11 : loss =  2.5e+01
   inp  : [s =  2.8e+02] гзйкщчж жцчыщцй зсзгвлэ чёхёшьч щосющйе пдлешйщ рыьдяно
