[2023-03-06 00-13-56] d=  7, evals=1.0e+03, k= 50, k_top=  5
===================== --------------------------------------

#     1 : loss = -5.0e+01
   inp  : [s =  5.0e+01] ъувщжёь
   out  : [s =  0.0e+00] Knight
   rev  : [s =  2.5e+01] Рыцарь

#     2 : loss = -4.8e+01
   inp  : [s =  4.8e+01] бйввкшя
   out  : [s =  0.0e+00] Former
   rev  : [s =  2.5e+01] Бывший

#     3 : loss = -4.5e+01
   inp  : [s =  4.5e+01] дщижщяп
   out  : [s =  0.0e+00] Building
   rev  : [s =  1.4e+01] Здание

#     4 : loss = -4.4e+01
   inp  : [s =  4.4e+01] мощыъпз
   out  : [s =  0.0e+00] Power
   rev  : [s =  1.5e+01] Власть

#     5 : loss = -4.3e+01
   inp  : [s =  5.8e+01] ъыьгрвх
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#     6 : loss = -4.2e+01
   inp  : [s =  4.2e+01] пёвюмыц
   out  : [s =  0.0e+00] first
   rev  : [s =  1.2e+01] первый

#     7 : loss = -4.1e+01
   inp  : [s =  4.1e+01] ъёефнся
   out  : [s =  0.0e+00] Currently
   rev  : [s =  3.0e+01] В настоящее время

#     8 : loss = -3.7e+01
   inp  : [s =  5.2e+01] ъжлхчлы
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#     9 : loss = -3.7e+01
   inp  : [s =  5.2e+01] ъоэсйьл
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    10 : loss = -3.7e+01
   inp  : [s =  4.1e+01] вытёщдч
   out  : [s =  3.7e+00] priest
   rev  : [s =  1.9e+01] священник

#    11 : loss = -3.6e+01
   inp  : [s =  4.1e+01] бщагчёщ
   out  : [s =  4.3e+00] Passing
   rev  : [s =  2.0e+01] Прохождение

#    12 : loss = -3.6e+01
   inp  : [s =  4.5e+01] штшнлхж
   out  : [s =  9.0e+00] Stitch
   rev  : [s =  2.6e+01] Стежок

#    13 : loss = -3.4e+01
   inp  : [s =  4.7e+01] гяшрьнп
   out  : [s =  1.3e+01] Gagarin
   rev  : [s =  1.9e+01] Гагарин

#    14 : loss = -3.3e+01
   inp  : [s =  3.3e+01] здкънсп
   out  : [s =  0.0e+00] health
   rev  : [s =  2.3e+01] здоровье

#    15 : loss = -3.2e+01
   inp  : [s =  4.7e+01] ъыллщьн
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    16 : loss = -3.2e+01
   inp  : [s =  4.6e+01] ътшлшэь
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    17 : loss = -3.2e+01
   inp  : [s =  3.8e+01] быошийя
   out  : [s =  5.7e+00] To be
   rev  : [s =  2.0e+01] Быть

#    18 : loss = -3.2e+01
   inp  : [s =  3.2e+01] доцшлны
   out  : [s =  0.0e+00] Associated
   rev  : [s =  2.8e+01] Асвязанный

#    19 : loss = -3.2e+01
   inp  : [s =  3.6e+01] пщмёжны
   out  : [s =  4.4e+00] They are
   rev  : [s =  1.9e+01] Они есть

#    20 : loss = -3.1e+01
