[2023-03-05 02-29-31] d=  7, evals=1.0e+03, k= 50, k_top=  5
===================== --------------------------------------

#     1 : loss =  2.1e+01
   inp  : [s =  2.7e+02] ощуъиъв ощуъиъв флжсйид иысвщёы иощсцйм нмьрщшт ътшмщэь
   out  : [s =  2.1e+01] feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it feel it
   rev  : [s =  6.1e+01] почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это, почувствуй это

#     2 : loss =  2.1e+01
   inp  : [s =  2.8e+02] бьвтюья ъяляужь ощуъиъв бьвтюья бдлпроь йьаёьеб нзеъёаь
   out  : [s =  2.1e+01] I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel
   rev  : [s =  6.7e+01] Я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что Я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую

#     3 : loss =  2.1e+01
   inp  : [s =  2.5e+02] ощуъиъв ъныуазу иощсцйм иысвщёы иьллтёу иощсцйм пёыэулм
   out  : [s =  2.1e+01] I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like
   rev  : [s =  7.0e+01] Я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, как Я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что

#     4 : loss =  2.1e+01
   inp  : [s =  2.7e+02] ощуъиъв ущйинъу иьеьрёъ онуьлйц ъььгрвх иощсцйм ътшмщэь
   out  : [s =  2.1e+01] I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like I feel like
